1961,71.34609756097560
1962,71.36707317073170
1963,71.38073170731710
1964,71.77634146341460
1965,71.87219512195120
1966,72.00439024390240
1967,72.20780487804880
1968,72.35341463414630
1969,72.50146341463410
1970,72.70048780487810
1971,73.02926829268290
1972,72.93390243902440
1973,73.16268292682930
1974,73.23756097560980
1975,73.52170731707320
1976,73.85609756097560
1977,74.21560975609760
1978,74.52975609756100
1979,74.86634146341460
1980,75.0780487804878
1981,75.47853658536590
1982,75.68048780487810
1983,76.03634146341460
1984,76.31756097560980
1985,76.30341463414640
1986,76.44000000000000
1987,76.73951219512200
1988,76.80926829268290
1989,77.06560975609760
1990,77.37707317073170
1991,77.55341463414630
1992,77.32073170731710
1993,77.68512195121950
1994,77.86195121951220
1995,77.97756097560980
1996,78.23048780487810
1997,78.48048780487810
1998,78.66243902439020
1999,78.8829268292683
2000,79.23658536585370
2001,79.48780487804880
2002,79.59024390243900
2003,79.83902439024390
2004,80.14146341463410
2005,80.29268292682930
2006,80.64390243902440
2007,80.80439024390240
2008,80.96487804878050
2009,80.66178048780490
2010,80.79780487804880
2011,80.92924390243900
